timestamp,best_bid,best_ask
2025-02-06 19:19:37.769346,2.2978,2.2979
2025-02-06 19:19:39.055699,2.2983,2.2984
2025-02-06 19:19:40.344028,2.2982,2.2983
2025-02-06 19:19:41.629228,2.2963,2.2964
2025-02-06 19:19:42.917463,2.296,2.2961
2025-02-06 19:19:44.203727,2.2948,2.2949
2025-02-06 19:19:45.491670,2.2947,2.2948
2025-02-06 19:19:46.777400,2.2943,2.2944
2025-02-06 19:19:48.063896,2.296,2.2961
2025-02-06 19:19:49.352566,2.2958,2.2959
2025-02-06 19:19:50.640818,2.2956,2.2957
2025-02-06 19:19:51.928780,2.2964,2.2965
2025-02-06 19:19:53.214502,2.2963,2.2964
2025-02-06 19:19:54.503967,2.2959,2.296
2025-02-06 19:19:55.788527,2.2954,2.2955
2025-02-06 19:19:57.072407,2.295,2.2951
2025-02-06 19:19:58.357898,2.2952,2.2953
2025-02-06 19:19:59.640793,2.2951,2.2952
2025-02-06 19:20:00.926259,2.2933,2.2934
2025-02-06 19:20:02.211319,2.2929,2.293
2025-02-06 19:20:03.494396,2.2914,2.2915
2025-02-06 19:20:04.780407,2.2911,2.2912
2025-02-06 19:20:06.063356,2.292,2.2921
2025-02-06 19:20:07.347253,2.2919,2.292
2025-02-06 19:20:08.631250,2.2927,2.2928
2025-02-06 19:20:09.915949,2.2923,2.2924
2025-02-06 19:20:11.202441,2.2936,2.2937
2025-02-06 19:20:12.486820,2.2939,2.294
2025-02-06 19:20:13.773264,2.2926,2.2927
2025-02-06 19:20:15.059692,2.2928,2.2929
2025-02-06 19:20:16.348158,2.2926,2.2927
2025-02-06 19:20:17.635187,2.2924,2.2925
2025-02-06 19:20:18.920365,2.2911,2.2912
2025-02-06 19:20:20.203910,2.2909,2.291
2025-02-06 19:20:21.489180,2.293,2.2931
2025-02-06 19:20:22.773181,2.2927,2.2928
2025-02-06 19:20:24.067621,2.2914,2.2915
2025-02-06 19:20:25.352139,2.2914,2.2915
2025-02-06 19:20:26.637258,2.292,2.2921
2025-02-06 19:20:27.920333,2.292,2.2921
2025-02-06 19:20:29.272535,2.2908,2.2909
2025-02-06 19:20:30.555446,2.292,2.2921
2025-02-06 19:20:31.845583,2.2924,2.2925
2025-02-06 19:20:33.129017,2.2934,2.2935
2025-02-06 19:20:34.418828,2.2947,2.2948
2025-02-06 19:20:35.705047,2.2943,2.2944
2025-02-06 19:20:36.989567,2.295,2.2951
2025-02-06 19:20:38.275050,2.296,2.2961
2025-02-06 19:20:39.562162,2.2966,2.2967
2025-02-06 19:20:40.848079,2.2971,2.2972
2025-02-06 19:20:42.133626,2.2977,2.2978
2025-02-06 19:20:43.416514,2.2973,2.2974
2025-02-06 19:20:44.703315,2.2964,2.2965
2025-02-06 19:20:45.989929,2.2952,2.2953
2025-02-06 19:20:47.276392,2.2936,2.2937
2025-02-06 19:20:48.572008,2.2943,2.2944
2025-02-06 19:20:49.887233,2.2949,2.295
2025-02-06 19:20:51.171346,2.2935,2.2936
2025-02-06 19:20:52.455773,2.2935,2.2936
2025-02-06 19:20:53.748689,2.2929,2.293
2025-02-06 19:20:55.034418,2.2934,2.2935
2025-02-06 19:20:56.357399,2.293,2.2931
2025-02-06 19:20:57.640709,2.2939,2.294
2025-02-06 19:20:59.375131,2.2932,2.2933
2025-02-06 19:21:00.660429,2.2927,2.2928
2025-02-06 19:21:01.945068,2.2921,2.2922
2025-02-06 19:21:03.230079,2.2902,2.2903
2025-02-06 19:21:04.515929,2.29,2.2901
2025-02-06 19:21:05.804142,2.2922,2.2923
2025-02-06 19:21:07.090000,2.29,2.2901
2025-02-06 19:21:08.375003,2.2909,2.291
2025-02-06 19:21:09.660463,2.2916,2.2917
2025-02-06 19:21:10.950706,2.2916,2.2917
2025-02-06 19:21:12.250801,2.2905,2.2906
2025-02-06 19:21:13.536070,2.2899,2.29
2025-02-06 19:21:14.821877,2.2888,2.2889
2025-02-06 19:21:16.114440,2.2887,2.2888
2025-02-06 19:21:17.399850,2.2869,2.287
2025-02-06 19:21:18.685720,2.2869,2.287
2025-02-06 19:21:19.969900,2.2867,2.2868
2025-02-06 19:21:21.254257,2.2873,2.2874
2025-02-06 19:21:22.538249,2.2888,2.2889
2025-02-06 19:21:23.823146,2.2893,2.2894
2025-02-06 19:21:25.111419,2.2904,2.2905
2025-02-06 19:21:26.395207,2.2906,2.2907
2025-02-06 19:21:27.678213,2.2891,2.2892
2025-02-06 19:21:28.963271,2.2895,2.2896
2025-02-06 19:21:30.247889,2.2893,2.2894
2025-02-06 19:21:31.534928,2.2899,2.29
2025-02-06 19:21:32.823624,2.2901,2.2902
2025-02-06 19:21:34.108547,2.29,2.2901
2025-02-06 19:21:35.422201,2.2888,2.2889
2025-02-06 19:21:36.732610,2.2888,2.2889
2025-02-06 19:21:38.042673,2.2893,2.2894
2025-02-06 19:21:39.354656,2.2903,2.2904
2025-02-06 19:21:40.667383,2.2907,2.2908
2025-02-06 19:21:41.977608,2.2915,2.2916
2025-02-06 19:21:43.288485,2.2901,2.2902
2025-02-06 19:21:44.601069,2.2894,2.2895
2025-02-06 19:21:45.911553,2.2893,2.2894
2025-02-06 19:21:47.222909,2.2895,2.2896
2025-02-06 19:21:48.537847,2.2901,2.2902
2025-02-06 19:21:49.847482,2.2923,2.2924
2025-02-06 19:21:51.159590,2.2929,2.293
2025-02-06 19:21:52.471252,2.2921,2.2922
2025-02-06 19:21:53.783857,2.2913,2.2914
2025-02-06 19:21:55.094319,2.2902,2.2903
2025-02-06 19:21:56.407118,2.2902,2.2903
2025-02-06 19:21:57.721193,2.29,2.2901
2025-02-06 19:21:59.032539,2.2899,2.29
2025-02-06 19:22:00.345548,2.2899,2.29
2025-02-06 19:22:01.655918,2.2901,2.2902
2025-02-06 19:22:02.966301,2.2922,2.2923
2025-02-06 19:22:04.283389,2.2945,2.2946
2025-02-06 19:22:05.595009,2.2961,2.2962
2025-02-06 19:22:06.906315,2.2987,2.2988
2025-02-06 19:22:08.217443,2.3,2.3001
2025-02-06 19:22:09.528953,2.2989,2.299
2025-02-06 19:22:10.844253,2.2981,2.2982
2025-02-06 19:22:12.155589,2.297,2.2971
2025-02-06 19:22:13.466208,2.2969,2.297
2025-02-06 19:22:14.777665,2.298,2.2981
2025-02-06 19:22:16.088420,2.299,2.2991
2025-02-06 19:22:17.402119,2.2994,2.2995
2025-02-06 19:22:18.715804,2.2993,2.2994
2025-02-06 19:22:20.029189,2.2968,2.2969
2025-02-06 19:22:21.339742,2.2962,2.2963
2025-02-06 19:22:22.652576,2.296,2.2961
2025-02-06 19:22:23.965239,2.2955,2.2956
2025-02-06 19:22:25.275443,2.295,2.2951
2025-02-06 19:22:26.588738,2.295,2.2951
2025-02-06 19:22:27.901623,2.2929,2.293
2025-02-06 19:22:29.226047,2.2939,2.294
2025-02-06 19:22:30.538140,2.2941,2.2942
2025-02-06 19:22:31.848221,2.2933,2.2934
2025-02-06 19:22:33.160572,2.2929,2.293
2025-02-06 19:22:34.472388,2.2923,2.2924
2025-02-06 19:22:35.787835,2.2923,2.2924
2025-02-06 19:22:37.099228,2.2913,2.2914
2025-02-06 19:22:38.410228,2.2909,2.291
2025-02-06 19:22:39.724103,2.2923,2.2924
2025-02-06 19:22:41.039334,2.2923,2.2924
2025-02-06 19:22:42.351677,2.2924,2.2925
2025-02-06 19:22:43.661888,2.2931,2.2932
2025-02-06 19:22:44.970945,2.2927,2.2928
2025-02-06 19:22:46.284377,2.2908,2.2909
2025-02-06 19:22:47.595056,2.2908,2.2909
2025-02-06 19:22:48.907776,2.2922,2.2923
2025-02-06 19:22:50.218850,2.2912,2.2913
2025-02-06 19:22:51.530033,2.2923,2.2924
2025-02-06 19:22:52.846312,2.2912,2.2913
2025-02-06 19:22:54.159146,2.2908,2.2909
2025-02-06 19:22:55.469251,2.2908,2.2909
2025-02-06 19:22:56.781436,2.2907,2.2908
2025-02-06 19:22:58.093965,2.2907,2.2908
2025-02-06 19:22:59.403790,2.2912,2.2913
2025-02-06 19:23:00.716248,2.292,2.2921
2025-02-06 19:23:02.031538,2.2915,2.2916
2025-02-06 19:23:03.342553,2.292,2.2921
2025-02-06 19:23:04.653337,2.2916,2.2917
2025-02-06 19:23:05.965232,2.2932,2.2933
2025-02-06 19:23:07.279407,2.2939,2.294
2025-02-06 19:23:08.595335,2.2938,2.2939
2025-02-06 19:23:09.909898,2.2951,2.2952
2025-02-06 19:23:11.224472,2.2952,2.2953
2025-02-06 19:23:12.536937,2.2962,2.2963
2025-02-06 19:23:13.847196,2.2964,2.2965
2025-02-06 19:23:15.159402,2.2957,2.2958
2025-02-06 19:23:16.470920,2.2969,2.297
2025-02-06 19:23:17.783885,2.2979,2.298
2025-02-06 19:23:19.094067,2.2971,2.2972
2025-02-06 19:23:20.409542,2.2981,2.2982
2025-02-06 19:23:21.720656,2.3003,2.3004
2025-02-06 19:23:23.031943,2.302,2.3021
2025-02-06 19:23:24.353621,2.3028,2.3029
2025-02-06 19:23:25.666147,2.3032,2.3033
2025-02-06 19:23:26.978898,2.3025,2.3026
2025-02-06 19:23:28.291299,2.3037,2.3038
2025-02-06 19:23:29.603746,2.3022,2.3023
2025-02-06 19:23:30.913789,2.3032,2.3033
2025-02-06 19:23:32.222414,2.303,2.3031
2025-02-06 19:23:33.532528,2.305,2.3051
2025-02-06 19:23:34.850295,2.3053,2.3054
2025-02-06 19:23:36.159928,2.3037,2.3038
2025-02-06 19:23:37.472386,2.3044,2.3045
2025-02-06 19:23:38.788265,2.3029,2.303
2025-02-06 19:23:40.096566,2.3032,2.3033
2025-02-06 19:23:41.408754,2.3017,2.3018
2025-02-06 19:23:42.721783,2.3007,2.3008
2025-02-06 19:23:44.036369,2.3006,2.3007
2025-02-06 19:23:45.349584,2.3003,2.3004
2025-02-06 19:23:46.660829,2.2997,2.2998
2025-02-06 19:23:47.970648,2.3007,2.3008
2025-02-06 19:23:49.282048,2.3007,2.3008
2025-02-06 19:23:50.593960,2.3006,2.3007
2025-02-06 19:23:51.904368,2.3003,2.3004
2025-02-06 19:23:53.217158,2.2991,2.2992
2025-02-06 19:23:54.542271,2.2982,2.2983
2025-02-06 19:23:55.854406,2.2985,2.2986
2025-02-06 19:23:57.165049,2.2992,2.2993
2025-02-06 19:23:58.480066,2.2986,2.2987
